"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"1",0,"hc","boy",1,34.4618,0.03686,31.5,32.8,33.6,34.5,35.3,36.1,37.4
"2",1,"hc","boy",1,37.2759,0.03133,34.6,35.8,36.5,37.3,38.1,38.8,40
"3",2,"hc","boy",1,39.1285,0.02997,36.4,37.6,38.3,39.1,39.9,40.6,41.9
"4",3,"hc","boy",1,40.5135,0.02918,37.8,39,39.7,40.5,41.3,42,43.3
"5",4,"hc","boy",1,41.6317,0.02868,38.9,40.1,40.8,41.6,42.4,43.2,44.4
"6",5,"hc","boy",1,42.5576,0.02837,39.7,41,41.7,42.6,43.4,44.1,45.4
"7",6,"hc","boy",1,43.3306,0.02817,40.5,41.8,42.5,43.3,44.2,44.9,46.2
"8",7,"hc","boy",1,43.9803,0.02804,41.1,42.4,43.1,44,44.8,45.6,46.8
"9",8,"hc","boy",1,44.53,0.02796,41.6,42.9,43.7,44.5,45.4,46.1,47.4
"10",9,"hc","boy",1,44.9998,0.02792,42.1,43.4,44.2,45,45.8,46.6,47.9
"11",10,"hc","boy",1,45.4051,0.0279,42.5,43.8,44.6,45.4,46.3,47,48.4
"12",11,"hc","boy",1,45.7573,0.02789,42.8,44.1,44.9,45.8,46.6,47.4,48.7
"13",12,"hc","boy",1,46.0661,0.02789,43.1,44.4,45.2,46.1,46.9,47.7,49.1
"14",13,"hc","boy",1,46.3395,0.02789,43.3,44.7,45.5,46.3,47.2,48,49.3
"15",14,"hc","boy",1,46.5844,0.02791,43.6,44.9,45.7,46.6,47.5,48.3,49.6
"16",15,"hc","boy",1,46.806,0.02792,43.8,45.1,45.9,46.8,47.7,48.5,49.8
"17",16,"hc","boy",1,47.0088,0.02795,44,45.3,46.1,47,47.9,48.7,50.1
"18",17,"hc","boy",1,47.1962,0.02797,44.1,45.5,46.3,47.2,48.1,48.9,50.3
"19",18,"hc","boy",1,47.3711,0.028,44.3,45.7,46.5,47.4,48.3,49.1,50.5
"20",19,"hc","boy",1,47.5357,0.02803,44.4,45.8,46.6,47.5,48.4,49.2,50.6
"21",20,"hc","boy",1,47.6919,0.02806,44.6,46,46.8,47.7,48.6,49.4,50.8
"22",21,"hc","boy",1,47.8408,0.0281,44.7,46.1,46.9,47.8,48.7,49.6,51
"23",22,"hc","boy",1,47.9833,0.02813,44.8,46.3,47.1,48,48.9,49.7,51.1
"24",23,"hc","boy",1,48.1201,0.02817,45,46.4,47.2,48.1,49,49.9,51.3
"25",24,"hc","boy",1,48.2515,0.02821,45.1,46.5,47.3,48.3,49.2,50,51.4
"26",25,"hc","boy",1,48.3777,0.02825,45.2,46.6,47.5,48.4,49.3,50.1,51.6
"27",26,"hc","boy",1,48.4989,0.0283,45.3,46.7,47.6,48.5,49.4,50.3,51.7
"28",27,"hc","boy",1,48.6151,0.02834,45.4,46.8,47.7,48.6,49.5,50.4,51.8
"29",28,"hc","boy",1,48.7264,0.02838,45.5,47,47.8,48.7,49.7,50.5,51.9
"30",29,"hc","boy",1,48.8331,0.02842,45.6,47.1,47.9,48.8,49.8,50.6,52.1
"31",30,"hc","boy",1,48.9351,0.02847,45.7,47.1,48,48.9,49.9,50.7,52.2
"32",31,"hc","boy",1,49.0327,0.02851,45.8,47.2,48.1,49,50,50.8,52.3
"33",32,"hc","boy",1,49.126,0.02855,45.9,47.3,48.2,49.1,50.1,50.9,52.4
"34",33,"hc","boy",1,49.2153,0.02859,45.9,47.4,48.3,49.2,50.2,51,52.5
"35",34,"hc","boy",1,49.3007,0.02863,46,47.5,48.3,49.3,50.3,51.1,52.6
"36",35,"hc","boy",1,49.3826,0.02867,46.1,47.6,48.4,49.4,50.3,51.2,52.7
"37",36,"hc","boy",1,49.4612,0.02871,46.2,47.6,48.5,49.5,50.4,51.3,52.8
"38",37,"hc","boy",1,49.5367,0.02875,46.2,47.7,48.6,49.5,50.5,51.4,52.8
"39",38,"hc","boy",1,49.6093,0.02878,46.3,47.8,48.6,49.6,50.6,51.4,52.9
"40",39,"hc","boy",1,49.6791,0.02882,46.3,47.8,48.7,49.7,50.6,51.5,53
"41",40,"hc","boy",1,49.7465,0.02886,46.4,47.9,48.8,49.7,50.7,51.6,53.1
"42",41,"hc","boy",1,49.8116,0.02889,46.5,48,48.8,49.8,50.8,51.7,53.2
"43",42,"hc","boy",1,49.8745,0.02893,46.5,48,48.9,49.9,50.8,51.7,53.2
"44",43,"hc","boy",1,49.9354,0.02896,46.6,48.1,49,49.9,50.9,51.8,53.3
"45",44,"hc","boy",1,49.9942,0.02899,46.6,48.1,49,50,51,51.9,53.4
"46",45,"hc","boy",1,50.0512,0.02903,46.7,48.2,49.1,50.1,51,51.9,53.4
"47",46,"hc","boy",1,50.1064,0.02906,46.7,48.2,49.1,50.1,51.1,52,53.5
"48",47,"hc","boy",1,50.1598,0.02909,46.8,48.3,49.2,50.2,51.1,52,53.6
"49",48,"hc","boy",1,50.2115,0.02912,46.8,48.3,49.2,50.2,51.2,52.1,53.6
"50",49,"hc","boy",1,50.2617,0.02915,46.9,48.4,49.3,50.3,51.2,52.1,53.7
"51",50,"hc","boy",1,50.3105,0.02918,46.9,48.4,49.3,50.3,51.3,52.2,53.7
"52",51,"hc","boy",1,50.3578,0.02921,46.9,48.5,49.4,50.4,51.3,52.2,53.8
"53",52,"hc","boy",1,50.4039,0.02924,47,48.5,49.4,50.4,51.4,52.3,53.8
"54",53,"hc","boy",1,50.4488,0.02927,47,48.6,49.5,50.4,51.4,52.3,53.9
"55",54,"hc","boy",1,50.4926,0.02929,47.1,48.6,49.5,50.5,51.5,52.4,53.9
"56",55,"hc","boy",1,50.5354,0.02932,47.1,48.6,49.5,50.5,51.5,52.4,54
"57",56,"hc","boy",1,50.5772,0.02935,47.1,48.7,49.6,50.6,51.6,52.5,54
"58",57,"hc","boy",1,50.6183,0.02938,47.2,48.7,49.6,50.6,51.6,52.5,54.1
"59",58,"hc","boy",1,50.6587,0.0294,47.2,48.8,49.7,50.7,51.7,52.6,54.1
"60",59,"hc","boy",1,50.6984,0.02943,47.2,48.8,49.7,50.7,51.7,52.6,54.2
"61",60,"hc","boy",1,50.7375,0.02946,47.3,48.8,49.7,50.7,51.7,52.7,54.2
