"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"1",0,"lh","boy",1,49.8842,0.03795,45.5,47.5,48.6,49.9,51.2,52.3,54.3
"2",1,"lh","boy",1,54.7244,0.03557,50.2,52.2,53.4,54.7,56,57.2,59.3
"3",2,"lh","boy",1,58.4249,0.03424,53.8,55.9,57.1,58.4,59.8,61,63.1
"4",3,"lh","boy",1,61.4292,0.03328,56.7,58.8,60.1,61.4,62.8,64,66.2
"5",4,"lh","boy",1,63.886,0.03257,59,61.2,62.5,63.9,65.3,66.6,68.7
"6",5,"lh","boy",1,65.9026,0.03204,61,63.2,64.5,65.9,67.3,68.6,70.8
"7",6,"lh","boy",1,67.6236,0.03165,62.6,64.9,66.2,67.6,69.1,70.4,72.6
"8",7,"lh","boy",1,69.1645,0.03139,64.1,66.4,67.7,69.2,70.6,71.9,74.2
"9",8,"lh","boy",1,70.5994,0.03124,65.5,67.8,69.1,70.6,72.1,73.4,75.7
"10",9,"lh","boy",1,71.9687,0.03117,66.8,69.1,70.5,72,73.5,74.8,77.2
"11",10,"lh","boy",1,73.2812,0.03118,68,70.4,71.7,73.3,74.8,76.2,78.6
"12",11,"lh","boy",1,74.5388,0.03125,69.1,71.6,73,74.5,76.1,77.5,80
"13",12,"lh","boy",1,75.7488,0.03137,70.2,72.7,74.1,75.7,77.4,78.8,81.3
"14",13,"lh","boy",1,76.9186,0.03154,71.3,73.8,75.3,76.9,78.6,80,82.6
"15",14,"lh","boy",1,78.0497,0.03174,72.3,74.9,76.4,78,79.7,81.2,83.8
"16",15,"lh","boy",1,79.1458,0.03197,73.3,75.9,77.4,79.1,80.9,82.4,85
"17",16,"lh","boy",1,80.2113,0.03222,74.2,76.9,78.5,80.2,82,83.5,86.2
"18",17,"lh","boy",1,81.2487,0.0325,75.1,77.9,79.5,81.2,83,84.6,87.4
"19",18,"lh","boy",1,82.2587,0.03279,76,78.8,80.4,82.3,84.1,85.7,88.5
"20",19,"lh","boy",1,83.2418,0.0331,76.8,79.7,81.4,83.2,85.1,86.8,89.7
"21",20,"lh","boy",1,84.1996,0.03342,77.7,80.6,82.3,84.2,86.1,87.8,90.7
"22",21,"lh","boy",1,85.1348,0.03376,78.4,81.5,83.2,85.1,87.1,88.8,91.8
"23",22,"lh","boy",1,86.0477,0.0341,79.2,82.3,84.1,86,88,89.8,92.9
"24",23,"lh","boy",1,86.941,0.03445,80,83.1,84.9,86.9,89,90.8,93.9
"25",24,"lh","boy",1,87.8161,0.03479,80.7,83.9,85.8,87.8,89.9,91.7,94.9
