"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"1",0,"wt","boy",0.3487,3.3464,0.14602,2.331,2.758,3.027,3.346,3.687,4.011,4.613
"2",1,"wt","boy",0.292314285714286,3.39618571428571,0.146012857142857,2.37485714285714,2.80185714285714,3.07342857142857,3.39628571428571,3.74257142857143,4.07485714285714,4.69485714285714
"3",2,"wt","boy",0.265728571428571,3.63442857142857,0.142897142857143,2.56628571428571,3.01228571428571,3.29628571428571,3.63442857142857,3.99714285714286,4.34585714285714,4.99757142857143
"4",3,"wt","boy",0.249842857142857,3.9274,0.139487142857143,2.8,3.27114285714286,3.57071428571429,3.92742857142857,4.31,4.67785714285714,5.36514285714286
"5",4,"wt","boy",0.2377,4.23644285714286,0.136271428571429,3.04685714285714,3.54457142857143,3.86057142857143,4.23657142857143,4.63957142857143,5.027,5.75071428571429
"6",5,"wt","boy",0.227657142857143,4.5355,0.133331428571429,3.28814285714286,3.81014285714286,4.14157142857143,4.53571428571429,4.95771428571429,5.363,6.12014285714286
"7",6,"wt","boy",0.218957142857143,4.81571428571429,0.130668571428571,3.51614285714286,4.06042857142857,4.40571428571429,4.81585714285714,5.25485714285714,5.67628571428571,6.46328571428571
"8",7,"wt","boy",0.2112,5.07551428571429,0.128257142857143,3.72928571428571,4.29342857142857,4.65142857142857,5.07542857142857,5.52985714285714,5.96542857142857,6.77857142857143
"9",8,"wt","boy",0.204214285714286,5.31635714285714,0.126077142857143,3.929,4.51085714285714,4.87928571428571,5.31642857142857,5.784,6.232,7.06828571428571
"10",9,"wt","boy",0.197814285714286,5.5401,0.124095714285714,4.11557142857143,4.71357142857143,5.09157142857143,5.54014285714286,6.01971428571429,6.47914285714286,7.33542857142857
"11",10,"wt","boy",0.191828571428571,5.74885714285714,0.122298571428571,4.29057142857143,4.90328571428571,5.29014285714286,5.749,6.23928571428571,6.70871428571429,7.58342857142857
"12",11,"wt","boy",0.186271428571429,5.94398571428571,0.120665714285714,4.45528571428571,5.081,5.47585714285714,5.944,6.44414285714286,6.923,7.81442857142857
"13",12,"wt","boy",0.181042857142857,6.1267,0.119191428571429,4.60985714285714,5.24757142857143,5.65,6.12657142857143,6.636,7.123,8.03028571428571
"14",13,"wt","boy",0.1761,6.29821428571429,0.117857142857143,4.75528571428571,5.40442857142857,5.81357142857143,6.29828571428571,6.81557142857143,7.31071428571429,8.23185714285714
"15",14,"wt","boy",0.171385714285714,6.45974285714286,0.11666,4.89242857142857,5.552,5.96771428571429,6.45985714285714,6.985,7.48714285714286,8.42214285714286
"16",15,"wt","boy",0.166928571428571,6.61231428571429,0.115588571428571,5.022,5.69142857142857,6.11342857142857,6.61242857142857,7.14471428571429,7.65428571428571,8.60171428571429
"17",16,"wt","boy",0.162614285714286,6.75687142857143,0.114632857142857,5.14457142857143,5.82342857142857,6.25085714285714,6.75685714285714,7.29657142857143,7.81257142857143,8.77242857142857
"18",17,"wt","boy",0.158542857142857,6.89421428571429,0.113785714285714,5.26071428571429,5.94857142857143,6.38171428571429,6.89442857142857,7.44071428571429,7.96328571428571,8.93528571428572
"19",18,"wt","boy",0.154585714285714,7.02497142857143,0.113034285714286,5.37114285714286,6.06757142857143,6.50642857142857,7.025,7.578,8.10685714285714,9.09042857142857
"20",19,"wt","boy",0.150785714285714,7.14977142857143,0.112377142857143,5.476,6.18085714285714,6.625,7.14985714285714,7.70942857142857,8.24457142857143,9.23971428571429
"21",20,"wt","boy",0.147114285714286,7.269,0.111804285714286,5.57585714285714,6.289,6.73828571428571,7.26914285714286,7.83514285714286,8.37642857142857,9.38285714285714
"22",21,"wt","boy",0.1436,7.3831,0.111301428571429,5.67071428571429,6.39214285714286,6.84642857142857,7.383,7.95557142857143,8.50271428571429,9.52028571428571
"23",22,"wt","boy",0.140114285714286,7.49231428571429,0.110867142857143,5.76142857142857,6.49057142857143,6.94971428571429,7.49242857142857,8.07085714285714,8.624,9.65271428571429
"24",23,"wt","boy",0.136771428571429,7.59692857142857,0.110494285714286,5.84785714285714,6.58471428571429,7.04871428571429,7.597,8.18171428571429,8.74071428571428,9.78042857142857
"25",24,"wt","boy",0.133528571428571,7.69735714285714,0.110177142857143,5.93028571428571,6.67471428571429,7.14342857142857,7.69742857142857,8.288,8.853,9.90357142857143
"26",25,"wt","boy",0.130371428571429,7.79395714285714,0.109908571428571,6.009,6.761,7.23457142857143,7.794,8.39057142857143,8.96157142857143,10.0228571428571
"27",26,"wt","boy",0.1273,7.88701428571429,0.10968,6.08514285714286,6.84414285714286,7.322,7.887,8.48971428571429,9.06614285714286,10.1382857142857
"28",27,"wt","boy",0.1243,7.97684285714286,0.10949,6.15771428571429,6.92385714285714,7.40657142857143,7.977,8.58528571428571,9.16757142857143,10.2502857142857
"29",28,"wt","boy",0.121385714285714,8.06358571428571,0.109331428571429,6.22771428571429,7.00071428571429,7.48785714285714,8.06371428571429,8.678,9.26557142857143,10.359
"30",29,"wt","boy",0.1185,8.14742857142857,0.109202857142857,6.295,7.07514285714286,7.56642857142857,8.14757142857143,8.76742857142857,9.36042857142857,10.4647142857143
"31",30,"wt","boy",0.1157,8.2286,0.109098571428571,6.35985714285714,7.14685714285714,7.64242857142857,8.22857142857143,8.85414285714286,9.453,10.5672857142857
"32",31,"wt","boy",0.113,8.30727142857143,0.109011428571429,6.42257142857143,7.21614285714286,7.716,8.307,8.93857142857143,9.54242857142857,10.667
"33",32,"wt","boy",0.110328571428571,8.3836,0.108944285714286,6.48328571428571,7.28314285714286,7.787,8.38357142857143,9.02028571428571,9.62957142857143,10.7642857142857
"34",33,"wt","boy",0.1077,8.45777142857143,0.108892857142857,6.542,7.34842857142857,7.85657142857143,8.45771428571429,9.09971428571429,9.714,10.8592857142857
"35",34,"wt","boy",0.105128571428571,8.5299,0.108852857142857,6.599,7.41157142857143,7.92371428571429,8.52985714285714,9.177,9.797,10.9518571428571
"36",35,"wt","boy",0.102614285714286,8.60021428571429,0.108825714285714,6.65457142857143,7.473,7.98942857142857,8.6,9.25271428571429,9.87757142857143,11.0422857142857
"37",36,"wt","boy",0.100128571428571,8.66881428571429,0.108807142857143,6.70828571428571,7.53314285714286,8.053,8.66885714285714,9.32657142857143,9.95642857142857,11.1307142857143
"38",37,"wt","boy",0.0977142857142857,8.73582857142857,0.1088,6.76085714285714,7.59157142857143,8.11557142857143,8.73571428571429,9.39857142857143,10.0335714285714,11.2172857142857
"39",38,"wt","boy",0.0953285714285714,8.80142857142857,0.1088,6.81214285714286,7.64885714285714,8.17657142857143,8.80157142857143,9.469,10.109,11.3021428571429
"40",39,"wt","boy",0.093,8.86571428571429,0.108802857142857,6.86228571428571,7.70485714285714,8.23628571428571,8.86585714285714,9.53857142857143,10.1832857142857,11.3858571428571
"41",40,"wt","boy",0.0906857142857143,8.92875714285714,0.108815714285714,6.91142857142857,7.75957142857143,8.29485714285714,8.929,9.60628571428571,10.256,11.468
"42",41,"wt","boy",0.0884285714285714,8.99065714285714,0.108832857142857,6.95957142857143,7.81342857142857,8.35242857142857,8.99071428571428,9.67314285714286,10.3274285714286,11.5487142857143
"43",42,"wt","boy",0.0861857142857143,9.05145714285714,0.108854285714286,7.00685714285714,7.86628571428571,8.409,9.05157142857143,9.73885714285714,10.398,11.6282857142857
"44",43,"wt","boy",0.084,9.11125714285714,0.10888,7.05314285714286,7.91814285714286,8.46414285714286,9.11128571428571,9.80342857142857,10.467,11.7067142857143
"45",44,"wt","boy",0.0818,9.1701,0.108908571428571,7.09871428571429,7.96914285714286,8.51871428571429,9.17014285714286,9.867,10.5352857142857,11.7838571428571
