"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"1",0,"hc","girl",1,33.8787,0.03496,31.1,32.4,33.1,33.9,34.7,35.4,36.6
"2",1,"hc","girl",1,36.5463,0.0321,33.8,35,35.8,36.5,37.3,38,39.3
"3",2,"hc","girl",1,38.2521,0.03168,35.4,36.7,37.4,38.3,39.1,39.8,41.1
"4",3,"hc","girl",1,39.5328,0.0314,36.6,37.9,38.7,39.5,40.4,41.1,42.4
"5",4,"hc","girl",1,40.5817,0.03119,37.6,39,39.7,40.6,41.4,42.2,43.5
"6",5,"hc","girl",1,41.459,0.03102,38.5,39.8,40.6,41.5,42.3,43.1,44.5
"7",6,"hc","girl",1,42.1995,0.03087,39.2,40.5,41.3,42.2,43.1,43.9,45.2
"8",7,"hc","girl",1,42.829,0.03075,39.8,41.1,41.9,42.8,43.7,44.5,45.9
"9",8,"hc","girl",1,43.3671,0.03063,40.3,41.7,42.5,43.4,44.3,45.1,46.5
"10",9,"hc","girl",1,43.83,0.03053,40.7,42.1,42.9,43.8,44.7,45.5,46.9
"11",10,"hc","girl",1,44.2319,0.03044,41.1,42.5,43.3,44.2,45.1,46,47.4
"12",11,"hc","girl",1,44.5844,0.03035,41.4,42.9,43.7,44.6,45.5,46.3,47.7
"13",12,"hc","girl",1,44.8965,0.03027,41.7,43.2,44,44.9,45.8,46.6,48.1
"14",13,"hc","girl",1,45.1752,0.03019,42,43.4,44.3,45.2,46.1,46.9,48.3
"15",14,"hc","girl",1,45.4265,0.03012,42.2,43.7,44.5,45.4,46.3,47.2,48.6
"16",15,"hc","girl",1,45.6551,0.03006,42.5,43.9,44.7,45.7,46.6,47.4,48.8
"17",16,"hc","girl",1,45.865,0.02999,42.7,44.1,44.9,45.9,46.8,47.6,49.1
"18",17,"hc","girl",1,46.0598,0.02993,42.9,44.3,45.1,46.1,47,47.8,49.3
"19",18,"hc","girl",1,46.2424,0.02987,43,44.5,45.3,46.2,47.2,48,49.5
"20",19,"hc","girl",1,46.4152,0.02982,43.2,44.6,45.5,46.4,47.3,48.2,49.6
"21",20,"hc","girl",1,46.5801,0.02977,43.4,44.8,45.6,46.6,47.5,48.4,49.8
"22",21,"hc","girl",1,46.7384,0.02972,43.5,45,45.8,46.7,47.7,48.5,50
"23",22,"hc","girl",1,46.8913,0.02967,43.7,45.1,46,46.9,47.8,48.7,50.1
"24",23,"hc","girl",1,47.0391,0.02962,43.8,45.3,46.1,47,48,48.8,50.3
"25",24,"hc","girl",1,47.1822,0.02957,43.9,45.4,46.2,47.2,48.1,49,50.4
"26",25,"hc","girl",1,47.3204,0.02953,44.1,45.5,46.4,47.3,48.3,49.1,50.6
"27",26,"hc","girl",1,47.4536,0.02949,44.2,45.7,46.5,47.5,48.4,49.2,50.7
"28",27,"hc","girl",1,47.5817,0.02945,44.3,45.8,46.6,47.6,48.5,49.4,50.8
"29",28,"hc","girl",1,47.7045,0.02941,44.4,45.9,46.8,47.7,48.7,49.5,51
