"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"1",0,"lh","girl",1,49.1477,0.0379,44.8,46.8,47.9,49.1,50.4,51.5,53.5
"2",1,"lh","girl",1,53.6872,0.0364,49.1,51.2,52.4,53.7,55,56.2,58.2
"3",2,"lh","girl",1,57.0673,0.03568,52.3,54.5,55.7,57.1,58.4,59.7,61.8
"4",3,"lh","girl",1,59.8029,0.0352,54.9,57.1,58.4,59.8,61.2,62.5,64.7
"5",4,"lh","girl",1,62.0899,0.03486,57.1,59.3,60.6,62.1,63.5,64.9,67.1
"6",5,"lh","girl",1,64.0301,0.03463,58.9,61.2,62.5,64,65.5,66.9,69.2
"7",6,"lh","girl",1,65.7311,0.03448,60.5,62.8,64.2,65.7,67.3,68.6,71
"8",7,"lh","girl",1,67.2873,0.03441,61.9,64.3,65.7,67.3,68.8,70.3,72.7
"9",8,"lh","girl",1,68.7498,0.0344,63.2,65.7,67.2,68.7,70.3,71.8,74.3
"10",9,"lh","girl",1,70.1435,0.03444,64.5,67,68.5,70.1,71.8,73.2,75.8
"11",10,"lh","girl",1,71.4818,0.03452,65.7,68.3,69.8,71.5,73.1,74.6,77.2
"12",11,"lh","girl",1,72.771,0.03464,66.9,69.5,71.1,72.8,74.5,76,78.6
"13",12,"lh","girl",1,74.015,0.03479,68,70.7,72.3,74,75.8,77.3,80
"14",13,"lh","girl",1,75.2176,0.03496,69.1,71.8,73.4,75.2,77,78.6,81.3
"15",14,"lh","girl",1,76.3817,0.03514,70.1,72.9,74.6,76.4,78.2,79.8,82.6
"16",15,"lh","girl",1,77.5099,0.03534,71.1,74,75.7,77.5,79.4,81,83.9
"17",16,"lh","girl",1,78.6055,0.03555,72.1,75,76.7,78.6,80.5,82.2,85.1
"18",17,"lh","girl",1,79.671,0.03576,73,76,77.7,79.7,81.6,83.3,86.3
"19",18,"lh","girl",1,80.7079,0.03598,74,77,78.7,80.7,82.7,84.4,87.5
"20",19,"lh","girl",1,81.7182,0.0362,74.8,77.9,79.7,81.7,83.7,85.5,88.6
"21",20,"lh","girl",1,82.7036,0.03643,75.7,78.8,80.7,82.7,84.7,86.6,89.7
"22",21,"lh","girl",1,83.6654,0.03666,76.5,79.7,81.6,83.7,85.7,87.6,90.8
"23",22,"lh","girl",1,84.604,0.03688,77.3,80.6,82.5,84.6,86.7,88.6,91.9
"24",23,"lh","girl",1,85.5202,0.03711,78.1,81.5,83.4,85.5,87.7,89.6,92.9
"25",24,"lh","girl",1,86.4153,0.03734,78.9,82.3,84.2,86.4,88.6,90.6,93.9
