"","Age","Measurement","Gender","L","M","S","P1","P10","P25","P50","P75","P90","P99"
"1",0,"wt","girl",0.3809,3.2322,0.14171,2.273,2.678,2.932,3.232,3.55,3.853,4.409
"2",1,"wt","girl",0.292214285714286,3.2606,0.146288571428571,2.27842857142857,2.68885714285714,2.95,3.26071428571429,3.59357142857143,3.91357142857143,4.51042857142857
"3",2,"wt","girl",0.245042857142857,3.4664,0.14457,2.44042857142857,2.86785714285714,3.14071428571429,3.46628571428571,3.817,4.155,4.78871428571429
"4",3,"wt","girl",0.213942857142857,3.72034285714286,0.141782857142857,2.64285714285714,3.091,3.37771428571429,3.72028571428571,4.08971428571429,4.44642857142857,5.11657142857143
"5",4,"wt","girl",0.188728571428571,3.98671428571429,0.139117142857143,2.85485714285714,3.32557142857143,3.62657142857143,3.987,4.37528571428571,4.75057142857143,5.45814285714286
"6",5,"wt","girl",0.166857142857143,4.24235714285714,0.136754285714286,3.05957142857143,3.55128571428571,3.86571428571429,4.24242857142857,4.649,5.04228571428571,5.78414285714286
"7",6,"wt","girl",0.147328571428571,4.48137142857143,0.134717142857143,3.25114285714286,3.76242857142857,4.08942857142857,4.48142857142857,4.90442857142857,5.31428571428571,6.08771428571429
"8",7,"wt","girl",0.129571428571429,4.70378571428571,0.13296,3.43057142857143,3.95942857142857,4.29828571428571,4.70385714285714,5.14242857142857,5.56742857142857,6.37014285714286
"9",8,"wt","girl",0.1132,4.91091428571429,0.131455714285714,3.59757142857143,4.14257142857143,4.49228571428571,4.91114285714286,5.36385714285714,5.80271428571429,6.63328571428571
"10",9,"wt","girl",0.0980285714285714,5.10442857142857,0.13016,3.75371428571429,4.31442857142857,4.67357142857143,5.10457142857143,5.57057142857143,6.023,6.87914285714286
"11",10,"wt","girl",0.0837714285714286,5.28652857142857,0.129045714285714,3.90042857142857,4.47542857142857,4.84442857142857,5.28657142857143,5.76542857142857,6.23028571428571,7.11114285714286
"12",11,"wt","girl",0.0703857142857143,5.45837142857143,0.128082857142857,4.03914285714286,4.62771428571429,5.00542857142857,5.45857142857143,5.94914285714286,6.42585714285714,7.33014285714286
"13",12,"wt","girl",0.0577142857142857,5.62094285714286,0.127242857142857,4.17,4.77157142857143,5.15771428571429,5.621,6.12328571428571,6.61157142857143,7.53842857142857
"14",13,"wt","girl",0.0457142857142857,5.77518571428571,0.12651,4.29428571428571,4.908,5.30185714285714,5.77514285714286,6.28871428571429,6.78771428571429,7.73628571428571
"15",14,"wt","girl",0.0342714285714286,5.92198571428571,0.125864285714286,4.41228571428571,5.03771428571429,5.43942857142857,5.922,6.44585714285714,6.95542857142857,7.92485714285714
"16",15,"wt","girl",0.0233428571428571,6.06195714285714,0.125295714285714,4.52457142857143,5.16128571428571,5.57028571428571,6.062,6.59585714285714,7.11557142857143,8.10542857142857
"17",16,"wt","girl",0.0129142857142857,6.19551428571429,0.124792857142857,4.632,5.279,5.69514285714286,6.19542857142857,6.73928571428571,7.26871428571429,8.27785714285714
"18",17,"wt","girl",0.0029,6.323,0.12435,4.73428571428571,5.39142857142857,5.81428571428571,6.32285714285714,6.87585714285714,7.415,8.44285714285714
"19",18,"wt","girl",-0.00667142857142857,6.44481428571429,0.123955714285714,4.83157142857143,5.49871428571429,5.92785714285714,6.445,7.00685714285714,7.555,8.60128571428571
"20",19,"wt","girl",-0.0159,6.56131428571429,0.123602857142857,4.925,5.60128571428571,6.03671428571429,6.56142857142857,7.132,7.68914285714286,8.75285714285714
"21",20,"wt","girl",-0.0247714285714286,6.67272857142857,0.123291428571429,5.01385714285714,5.69928571428571,6.14071428571429,6.67271428571429,7.252,7.81728571428571,8.89842857142857
"22",21,"wt","girl",-0.0333,6.77932857142857,0.123015714285714,5.099,5.79285714285714,6.24014285714286,6.77942857142857,7.36685714285714,7.94028571428571,9.038
"23",22,"wt","girl",-0.0415857142857143,6.88145714285714,0.122774285714286,5.18042857142857,5.88271428571429,6.33542857142857,6.88142857142857,7.47657142857143,8.058,9.17185714285714
"24",23,"wt","girl",-0.0495571428571429,6.97951428571429,0.122564285714286,5.25871428571429,5.96885714285714,6.42671428571429,6.97957142857143,7.58228571428571,8.17171428571429,9.30114285714286
"25",24,"wt","girl",-0.0572571428571429,7.07384285714286,0.122384285714286,5.33342857142857,6.05114285714286,6.51457142857143,7.07371428571429,7.68414285714286,8.281,9.426
"26",25,"wt","girl",-0.0647,7.16477142857143,0.12223,5.40557142857143,6.13085714285714,6.59914285714286,7.16471428571429,7.78228571428571,8.38657142857143,9.54657142857143
"27",26,"wt","girl",-0.0719,7.25255714285714,0.122101428571429,5.47485714285714,6.20757142857143,6.68071428571429,7.25242857142857,7.877,8.48842857142857,9.66357142857143
